Region,Year,Yr_week,Period,Qtr,Week Start Date,Week End Date,category_area,Product,Sales_TY,Sales_LY,EVENT_Autumn Sale,EVENT_BBQ,EVENT_BBQ Euros,EVENT_Back To Routine,EVENT_Better Baskets,EVENT_Brand Savers,EVENT_CCMP,EVENT_Diwali,EVENT_Drinks,EVENT_Drinks Festival,EVENT_Easter,EVENT_Family Meals,EVENT_Fathers Day,EVENT_Fathers Day BBQ,EVENT_Great Value,EVENT_Halloween,EVENT_Helpful Little Swaps,EVENT_Hogmanay,EVENT_Little Helps,EVENT_Love Local,EVENT_Mothers Day,EVENT_Night In,EVENT_Party Time,EVENT_Pound Shop,EVENT_Valentines,EVENT_Wales Big Pack,EVENT_Xmas,Holiday_Name,Holiday_Flag,Temperature,Minimum Temperature,Maximum Temperature,Precipitation,Total Snowfall,Wind Speed,Wind Gust,Atmospheric Pressure,CPIH_VALUE,RPI_VALUE,UNEMPLOYMENT_RATE,GDP_VALUE
London,2019,201901,201901,20191,2/25/2019,3/3/2019,Bakery & Dairy,Cheese & Yoghurts,23781207.45,23977332.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9.414285714,2.5,17.0,3.0,0,12.21428571,57.4,1019.342857,285.0,2.6,3.8,665456
London,2019,201902,201901,20191,3/4/2019,3/10/2019,Bakery & Dairy,Cheese & Yoghurts,23737166.19,23583231.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7.971428571,4.1,12.0,21.7,0,21.28571429,64.8,1001.428571,285.1,2.6,3.8,665456
London,2019,201903,201901,20191,3/11/2019,3/17/2019,Bakery & Dairy,Cheese & Yoghurts,23407166.67,23213265.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8.671428571,3.2,13.8,24.8,0,26.11428571,63.0,1008.342857,285.1,2.6,3.8,665456
London,2019,201904,201901,20191,3/18/2019,3/24/2019,Bakery & Dairy,Cheese & Yoghurts,22949428.55,22992374.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9.142857143,3.6,13.9,1.8,0,9.257142857,25.9,1029.142857,285.1,2.6,3.8,665456
London,2019,201905,201901,20191,3/25/2019,3/31/2019,Bakery & Dairy,Cheese & Yoghurts,23173145.4,22733864.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9.185714286,2.7,17.0,0.0,0,8.628571429,38.9,1030.457143,285.1,2.6,3.8,665456
London,2019,201906,201902,20191,4/1/2019,4/7/2019,Bakery & Dairy,Cheese & Yoghurts,22776297.2,22386315.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6.957142857,1.4,12.9,6.6,0,12.44285714,38.9,1004.914286,288.2,2.6,3.8,666875
London,2019,201907,201902,20191,4/8/2019,4/14/2019,Bakery & Dairy,Cheese & Yoghurts,22126420.3,23078014.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6.928571429,0.9,13.2,4.9,0,13.12857143,37.0,1021.571429,288.2,2.6,3.8,666875
London,2019,201908,201902,20191,4/15/2019,4/21/2019,Bakery & Dairy,Cheese & Yoghurts,22034173.72,23919182.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOODFRIDAY,1,12.52857143,3.1,22.0,0.0,0,11.35714286,38.9,1022.5,288.2,2.6,3.8,666875
London,2019,201909,201902,20191,4/22/2019,4/28/2019,Bakery & Dairy,Cheese & Yoghurts,23021228.04,24190176.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11.77142857,6.2,22.4,1.3,0,16.51428571,64.8,1004.914286,288.2,2.6,3.8,666875
London,2019,201910,201903,20191,4/29/2019,5/5/2019,Bakery & Dairy,Cheese & Yoghurts,22389539.9,24143248.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8.971428571,2.3,15.8,3.6,0,11.18571429,46.3,1020.142857,288.2,2.6,3.8,666875
